TSlt,PV_Gen,WT_Gen,Load,DG_Gen,MG_buy,MG_sell,Bat_dch,Bat_ch,SOC
1,1494.0,1829.0,4340.0,1178,0,461,300,0,50
2,1233.0,2090.0,4001.0,678,0,0,0,0,20
3,1015.0,1642.0,4573.0,500,2056,0,0,640,20
4,1341.0,1848.0,4335.0,506,0,0,640,0,84
5,1363.0,2375.0,3059.0,506,0,385,0,800,20
6,1121.0,2101.0,4968.0,1006,0,0,740,0,100
7,1499.0,2205.0,3803.0,839,0,0,0,740,26
8,1001.0,1758.0,4278.0,1000,0,281,800,0,100
9,1245.0,2204.0,3795.0,500,0,154,0,0,20
10,1160.0,2485.0,4738.0,500,0,407,1000,0,20
solution,80293.00000000003
